,empresa,cargo,ubicación,detalles
167,Kuehne+Nagel,Ing. Soporte Técnico IT (Infra),"Cuautitlán Izcalli, Méx.","Nos encontramos en la búsqueda de un Ing. Soporte Técnico de IT (Infra) para incorporarse a nuestro equipo de trabajo en Cuautitlán/Tlalnepantla.
Tu función
En este rol, el Analista de Soporte Técnico IT (Infra) deberá brindar servicio de soporte técnico de manera local para la resolución de problemas en equipos de cómputo, sistemas de comunicación y aplicaciones de usuarios internos asi como apoyo a usuarios externos.
Tus responsabilidades
1. Ayudar en la resolución de problemas técnicos a los usuarios de sistemas
2. Documentar en la plataforma de tickets la resolución de problemas técnicos
3. Brindar asesoría a los usuarios sobre el uso de los recursos informáticos
4. Dar soporte técnico (1er nivel) a los problemas de redes, computo, telefonía, RF y aplicaciones de escritorio
5. Buscar soluciones a problemas básicos de clientes externos (en cuanto a soporte técnico)
6. Reubicar equipos de cómputo y telefonía de acuerdo a los movimientos de personal
7. Brindar soporte técnico remoto a los usuarios en caso de contingencia
8. Reestablecer los sistemas post-contingencia
9. Ofrecer soporte técnico a todos los usuarios que lo requiera
Tus habilidades y experencias
Ing. en Sistemas o Redes (Titulado, indispensable)
CONOCIMIENTOS:
Microsoft SQL server versiones 2008 en adelante (deseable certificación)
Microsoft Windows server 2008 en adelante
Gestión de proyectos
Gestión de incidentes (ITIL)
Redes de datos LAN/WIFI WAN
VoIP
Sistemas CCTV y control de acceso
Deseable haber trabajado en centros de distribución
APTITUDES:
Proactivo
Trabajo en equipo
Excelente actitud de servicio
Altamente enfocado en atención a usuarios
Autodidacta
Por qué deberías unirte a nosotros
Únete a Kuehne + Nagel México donde podrás desarrollar tu carrera profesional en una Compañía líder en el sector de Logística y Comercio Internacional. Ofrecemos compensación competitiva, un paquete integral de beneficios, descuentos para empleados, excelentes programas de capacitación y un entorno de trabajo global altamente dinámico."
168,Grupo Posadas,GERENTE DE SISTEMAS,"Puebla, Pue.","Misión del Puesto
Ejecutar la planeación; análisis; desarrollo e implementación sistemas de información administrativos; de operaciones; control y toma de decisiones de la organización.Diseñar y proponer soluciones tecnológicas estratégicas que apoyen el crecimiento rentable de la empresa.
Áreas de Especialización
Sistemas de la Información
Sistemas de Operación Hotelera
TIC´S

Escolaridad
Licenciatura en Informática o Sistemas
Titulado
Paquetes Informáticos
Clarity
Office
Visio
Idiomas
Inglés
Español
Experiencia
Project IT Manager;Technical IT support ;Project Leader;2 años
Comentarios Adicionales
Manejo de equipos multidisciplinarios. Manejo de Proveedores de tecnología externos.Trabajo colaborativo con diferentes Áreas de Tecnología de Información dentro de Grupo Posadas.Entrega de información a diversas áreas de Posadas como Auditoría corporativa; Gestión Estratégica; Legal; Compras; Inmobiliaria y Recursos Humanos.
Principales funciones del puesto
Coordinar y apoyar la instalación de modificaciones, actualizaciones o versiones nuevas de los sistemas.
Mantener en operación los sistemas de cómputo para la operación hotelera y dar soporte a los usuarios de dichos sistemas.
Realizar los respaldos y depuración de la información de manera periódica y oportuna.
Revisar la correcta funcionalidad de la red de huéspedes.
Dar soporte a los usuarios de los sistemas computacionales del hotel."
169,"Prime Wheel México, S. de R.L. de C.V.",Auxiliar IT (Sistemas),"Tijuana, B.C.","Descripción y detalle de las actividades
- Conocimientos de hardware/Conocimiento sobre la estructura de una computadora - Habilidad de diagn'ostico Hardware/Software - Capacidad para resoluci'on de problemas - Lleva a cabo el mantenimiento preventivo y correctivo de los equipos de computo - Realiza la instalación y administración de telefonía, auxilia en la instalación de refes estructuradas.
Experiencia y requisitos
- Licenciatura o Ingeniería en Sistemas computacionales, Informática TIC's o afín. - Disponibilidad de horario - Inglés conversacional (60%) - Conocimientos en redes, cableado, sistemas operativos"
170,IBM,INGENIERO SOPORTE CAJEROS AUTOMATICOS,Ciudad de México,"Introduction
System Services Representatives are the primary technical interface to clients for the coordination of hardware and software support and delivery of operational services. Sound pretty important? Absolutely! You will advise clients of preventive maintenance, configuration, operation and environmental factors which may drastically impact product performance or impair the client's IT operation.

Your Role and Responsibilities
Este rol es un colaborador responsable de la instalación, mantenimiento y reparación in situ de sistemas y componentes de IBM y de varios otros proveedores, incluyendo hardware, productos de red, software y sistemas operativos. Constituyen la interfaz técnica primaria de los clientes para la coordinación del soporte de hardware y/o software y la prestación de servicios operacionales necesarios para el cliente. Asesoran a los clientes en el mantenimiento preventivo, la configuración, la operación y los factores medioambientales que pueden afectar al rendimiento del producto o impedir la operación TI del cliente. También pueden realizar actividades de servicios tales como aseguramiento de sistemas, planificación de la instalación, gestión contable, determinación de problemas a nivel de sistema, discontinuidad y reubicación de sistemas y productos de IBM y de otros proveedores. Son responsables de asegurar un alto nivel de satisfacción del cliente con la prestación de servicios, soporte técnico y servicios operacionales para las cuentas de cliente. Ciando se produzcan situaciones críticas, serán la interfaz técnica de IBM con los clientes y gestionarán la situación hasta que se resuelva el problema. Tienen un conocimiento exhaustivo de la estrategia de soporte técnico de IBM y pueden articularla. Son responsables de la relación de valor técnico para proteger la base de ingresos e identificar nuevas oportunidades de servicios.

Required Technical and Professional Expertise
EXPERIENCIA EN SOPORTE CAJEROS NCR, WINCOR O DIEBOLD

Preferred Technical and Professional Expertise
EXPERIENCIA EN SOPORTE CAJEROS NCR, WINCOR O DIEBOLD

LOCALIDADES:
Saltillo
Monclova
Durango
Monterrey
Culiacan
Culiacan
Mazatlan
Hermosillo
Reynosa
Tampico
Tijuana
Los Cabos
Ciudad Juarez
Chihuahua

About Business UnitAt Global Technology Services (GTS), we help our clients envision the future by offering end-to-end IT and technology support services, supported by an unmatched global delivery network. It's a unique blend of bold new ideas and client-first thinking. If you can restlessly reinvent yourself and solve problems in new ways, work on both technology and business projects, and ask, ""What else is possible?"" GTS is the place for you!

Your Life @ IBMWhat matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBMIBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location StatementFor additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
171,2D DESING & DEVELOPMENT SA DE CV,Ing. en Sistemas,"Toluca, Méx.","Actividades y responsabilidades principales de la posición:
Soporte CenMan & servidores no CenMan que proporcionan: servicios, mantenimiento de hardware y software, diagramas, inventarios y monitoreo.
Apoyar a los equipos globales que proporcionan asistencia con tareas y requisitos específicos de acuerdo con plataformas de IT y área de infraestructura.
Colaborar en proyectos de alojamiento local.
Garantizar la confidencialidad de la información en función de las políticas globales, con una ejecución correcta, física y lógica, control de acceso, administración de cuentas, etc.
Aplicar el proceso definido para todas las actividades de servidores en las operaciones siguientes:
[1] Proceso de gestión de cambios, incidentes y problemas
[2] Evaluación de riesgos
[3] Plan de operación de TI: monitoreo, copia de seguridad, cronograma de trabajo
Prestaciones de ley."
172,Shasa,TRAINEE DE IT,"Lerma, Méx.","Somos una Marca de Moda líder en el mercado de Fast Fashion.

Estamos en búsqueda del mejor talento para ocupar la posición de:

Trainee de IT



Actividades a desempeñar:
Atención y/o seguimientos a reportes
Soporte técnico primer nivel a la infraestructura de comunicaciones.
Soporte técnico primer nivel en sistema POS (punto de venta)
Configuración de POS, puntos de acceso, cámaras WiFi e impresoras para tiendas
Administración del almacén de activos IT
Soporte a usuarios de Corporativo

ZONA DE TRABAJO: LERMA, EDO DE MÉXICO

Ofrecemos: $8,000 libre los primes 6 meses + Prestaciones de Ley
Requerimientos:
REQUISITOS:

Escolaridad: Egresado de la Ingeniería en Sistemas
Edad: 22 a 28 años
Sexo: Indistinto
Flexible para adaptarse a los horarios
Disponibilidad para rolar turnos
Analítico (a) y sistemático (a)"
173,IBM,Service Availability Manager,Ciudad de México,"Introduction
At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities
Las personas que realicen esta función optimizarán la disponibilidad de la infraestructura de TI, sistemas y servicios para cumplir los compromisos que IBM ha adquirido con sus clientes de una forma rentable. Ofrecen un modelo de recuperación mejorada para la resolución de incidencias principales de complejidad o de larga duración. Proporcionan una gestión integrada y coordinación de la gestión de incidentes, la gestión de problemas, la gestión de cambios y los procesos de gestión de la disponibilidad. Utilizan conocimientos de entornos técnicos y de cliente para asegurar que los servicios y los componentes se diseñan y se prestan para cumplir sus objetivos de disponibilidad. Facilitarán un puente entre los equipos de entrega y el impulso de una recuperación rápida durante las incidencias. Proporcionarán una visión global del entorno del cliente y efectuarán recomendaciones para mejorar el servicio global.

Required Technical and Professional Expertise
Leadership and Coordination of work teams.
Knowledge of Infrastructure Platforms
Incident Management
Change Management
RCA Management
Client Facing
Monitoring Infrastructure

Preferred Technical and Professional Expertise
Openshift
Cloud
Ansible
Redhat
Solaris
Windows
Automation Process

About Business UnitAt Global Technology Services (GTS), we help our clients envision the future by offering end-to-end IT and technology support services, supported by an unmatched global delivery network. It's a unique blend of bold new ideas and client-first thinking. If you can restlessly reinvent yourself and solve problems in new ways, work on both technology and business projects, and ask, ""What else is possible?"" GTS is the place for you!

Your Life @ IBMWhat matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBMIBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location StatementFor additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
174,Danone,IT,"Cuajimalpa, CDMX","La transformación, la innovación y la eficiencia juegan un papel importante en Danone. Nos aseguramos de que las personas tengan los sistemas y las herramientas que necesitan, buscamos nuevas formas de usar la tecnología e introducimos innovaciones que ayuden al negocio a crecer de manera sostenible."
175,Zagxa,IT Recruiter,"Monterrey, N. L.","IT Recruiter
Relacionado
Fecha de publicación / post date:
30 March, 2021
Responsabilidades del puesto / position responsibilities:
Realizar el proceso de búsqueda, selección, reclutamiento y seguimiento de personal especializado en:
– Tecnologías de Información para diferentes proyectos.
– Ventas de bienes y servicios de TI.
– Procesos administrativos.
– Marketing y diseño.
Experiencia / experience:
3+ años
Escolaridad / scholarship:
Lic. Psicología, Lic. en Admón de empresas, Ing. en sistemas, Lic. en informática o carrera afín
Género / gender:
Indistinto.
Edad / age:
23+ años
Ubicación / location:
Monterrey, Nuevo León, México.
Conocimiento indispensable / knowledge required:
Conocimiento y dominio de todos los aspectos del proceso de Reclutamiento y Selección.
Experiencia en la atracción de talento de puestos especializados enfocados a TI, como: Desarrolladores, DBA's, Soporte técnico, Arquitectos, PM's, etc... Esto requiere experiencia en la lectura de perfiles enfocados a tecnologías .Net, Java, Oracle, DB2, SAP, etc.
Conocimiento en el manejo, aplicación e interpretación de pruebas psicométricas
Entrevista por competencias
Fuerte conocimiento en el manejo de diversas fuentes de reclutamiento: Portales de empleo, bolsas de trabajo y redes sociales.
Integración de expedientes
Reclutamiento 2.0
Contacto con clientes y candidatos
Filtro telefónico (Español/Inglés)
Indicadores de Reclutamiento (haber trabajado bajo estructura de cumplimientos).
Estrategias de captación e intercambios de cartera.
Validación de Sueldos.
Conocimiento deseable / Knowledge desired:
Conocimiento de las tendencias y las mejores prácticas de la industria.
Alta capacidad de negociación.
Realizar análisis de perfiles.
Contacto con Manager para detallar el perfil.
Experiencia en Consultoría.
Manejo de personal.
Conocimiento para proponer nuevos modelos y procesos de reclutamiento y selección.
Desarrollar y actualizar descripciones de puestos de acuerdo a tendencias del mercado.
Conocimiento de las mejores prácticas.
Idiomas(Nivel) / languages(level):
Inglés (nivel bilingüe)
Sueldo / salary:
$10,000.00 a $18,000.00 (Según aptitudes)
Tipo de contratación / type of contract:
Contrato Indefinido.
Tipo de empleo / type of employment:
Tiempo completo
Esquema de trabajo / employment model:
En sitio
Actitudes y aptitudes / attitudes and skills:
Personalidad activa y dinámica.
Orientación al cumplimiento de objetivos.
Organización y control.
Profesionalismo.
Solución de problemas.
Tolerancia a la frustración.
Deseos de superación.
Capacidad para trabajar bajo presión.
Proactividad.
Honestidad.
Lealtad.
Disponibilidad para viajar / availability to travel:
NO es necesario
Notas / notes:
Favor de postularte sólo si cumples con el 100% del perfil mencionado anteriormente."
176,IBM,SOPORTE L2 CAJEROS AUTOMÁTICOS,Ciudad de México,"Introduction
System Services Representatives are the primary technical interface to clients for the coordination of hardware and software support and delivery of operational services. Sound pretty important? Absolutely! You will advise clients of preventive maintenance, configuration, operation and environmental factors which may drastically impact product performance or impair the client's IT operation.

Your Role and Responsibilities
Este rol es un colaborador responsable de la instalación, mantenimiento y reparación in situ de sistemas y componentes de IBM y de varios otros proveedores, incluyendo hardware, productos de red, software y sistemas operativos. Constituyen la interfaz técnica primaria de los clientes para la coordinación del soporte de hardware y/o software y la prestación de servicios operacionales necesarios para el cliente. Asesoran a los clientes en el mantenimiento preventivo, la configuración, la operación y los factores medioambientales que pueden afectar al rendimiento del producto o impedir la operación TI del cliente. También pueden realizar actividades de servicios tales como aseguramiento de sistemas, planificación de la instalación, gestión contable, determinación de problemas a nivel de sistema, discontinuidad y reubicación de sistemas y productos de IBM y de otros proveedores. Son responsables de asegurar un alto nivel de satisfacción del cliente con la prestación de servicios, soporte técnico y servicios operacionales para las cuentas de cliente. Ciando se produzcan situaciones críticas, serán la interfaz técnica de IBM con los clientes y gestionarán la situación hasta que se resuelva el problema. Tienen un conocimiento exhaustivo de la estrategia de soporte técnico de IBM y pueden articularla. Son responsables de la relación de valor técnico para proteger la base de ingresos e identificar nuevas oportunidades de servicios.

Required Technical and Professional Expertise
SOPORTE L2 CAJEROS AUTOMATICOS

Preferred Technical and Professional Expertise
SOPORTE L2 CAJEROS AUTOMATICOS

About Business Unit
At Global Technology Services (GTS), we help our clients envision the future by offering end-to-end IT and technology support services, supported by an unmatched global delivery network. It's a unique blend of bold new ideas and client-first thinking. If you can restlessly reinvent yourself and solve problems in new ways, work on both technology and business projects, and ask, ""What else is possible?"" GTS is the place for you!

Your Life @ IBM
What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
177,"Avit Soluciones, S. de R.L. de C.V.",Soporte técnico IT,"Tijuana, B.C.","Descripción y detalle de las actividades
Contribución del puesto: Ejecuta las tareas necesarias para instalar físicamente las soluciones contratadas con el fin de cumplir con los compromisos establecidos con los clientes y dar soporte a los mismos. Responsabilidades del puesto: • Asegura que la solución contratada por el cliente funcione correctamente ejecutando la batería de • Proporciona soluciones a situaciones que se presentan con el cliente, analizando la falla y proporcionando alternativas con el fin de resolverla • Ejecuta el proyecto integrando los equipos que lo componen con el fin de cumplir con el compromiso establecido con el cliente • Generar tickets con requerimiento del cliente y seguimiento
Experiencia y requisitos
Perfil del puesto: • Tec. Sistemas, Tec. Telecomunicaciones, Tec. Informática, Tec. Computación, Tec. Electrónica, Tec. Mecatrónica o Tec. Redes • Conocimiento técnico en Electrónica, Instalaciones, Redes, Telecomunicaciones, Interpretación de diagramas • Facilidad de palabra, Proactivo, y excelente Actitud de servicio. • Trabajo en equipo, buena organización, enfoque a logros, dinamismo y propositivo(a)."
178,IBM,Tecnico en seguridad sistemas operativos distribuidos,Ciudad de México,"Introduction
At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities
Los especialistas en TI que ocupen este rol laboral resolveran problemas y temas de seguridad del área de Unix desde su inicio hasta su finalización, responsable de la toma de decisiones y la continuidad del negocio, encargado de atender incidentes, ofrecer diagnostico a problemas y proponer nuevas soluciones, así como mejorar el servicio que se ofrece actualmente, mantenerse actualizado siendo autodidacta y proactivo, teniendo un enfoque de servicio.

Actividades:
Conocimiento basico de modelos, mecanismos y hardening de seguridad en ambientes distribuidos para su generación, mejora e implementación, responsable de soporte de 2do nivel a las áreas operativas.
Dominio basico de políticas de contraseñas, usuarios, grupos y mecanismos de autenticación en ambientes Linux / Unix. (passwd/chgrp, group, shadow, useradd, usermod, userdel, lock, faillog, PAM), perfilado, privilegios y roles de usuarios.
Conocimiento basico de comandos básicos de Linux/Unix (ls, df, scp, ftp , telnet, openssl, du, cat, more, awk, sed, tail, ps, netstat, ss, route, tcpdump, snoop), por citar algunos, seguridad en archivos, FileSystems, Particiones, Storage, RAID, (ext3, hfs, NFS, parámetros de configuración, df, fdisk, inodos, mirror, chmod, mask, umask, md5, shasum, SUID, GUID, Sticky-bit), mount, umount)
Conocimientos básicos de servicios y rotación de logs, auditoría y configuración de servicios a nivel S.O Linux / UNIX (syslog, messages, audit, sulog, sudolog), monitoreo de las actividades de los usuarios, revisión de logs (message, auth.log, kern.log, cron.log, maillog, boot.log, mysqld.log, secure, utmp, yum.log, yum.log).
Dominio basico de servicios, protocolos y herramientas de red (ssh,telnet,ftp, sudo, getacl, HTTP, SSL, service, initd, chkconfig, systemctl, netcat, socat, iptables, TCPWrappers).
Programación intermedia en Shell (ksh,sh, bash,zsh) y programación de tareas (crontab, at).
Conocimiento basico de herramientas de seguridad en ambientes Linux / Unix (nmap, nessus,john the ripper, wireshark, putty, metasploit, chkrootkit, netcat, tcpdump, Control Minder* {Herramienta de administración de la seguridad a nivel S.O distribuido} y TPAM* {Herramienta de gestión de cuentas privilegiadas multiplataforma} Deseable o similares*).
Conocimiento de protocolos (SSH, FTP, DHCP, DNS, HTTP, SSL, HTTPS, TLS, TCP, LDAP); Conocimiento basico de criptografía simétrica y asimétrica aplicada a S.O Unix / Linux (PGP, public key).
Dominio basico de gestores de paquetes (yum, rpm, Yast2, dpkg) para ambientes Linux / Unix.
Responsable de generar y actualizar procedimientos para las áreas operativas(1er nivel) , Conocimiento básico de heramienta de gestión de incidencias (Remedy), generación de reportes.

Skills:
Conocimientos básicos de seguridad orientado a S.O Unix/Linux.
Manejo de comandos Linux / Unix por CLI.
Programación en Shell
Linux Professional Institute 1/2 o similares.
Certified Ethical Hacker (CEH) - EC-Council
Cisco Certified Network Associate Routing & Switching (CCNA)
Conocimientos sólidos de protocolos de red.
Conocimientos de seguridad informática.
Conocimiento de algún lenguaje de programación.
Inglés técnico

Competencias:
Proactivo
Disponibilidad
Actitud de servicio
Analitico
Propositivo
Servicial/Facilidad de palabra

Required Technical and Professional Expertise

Actividades:
Conocimiento basico de modelos, mecanismos y hardening de seguridad en ambientes distribuidos para su generación, mejora e implementación, responsable de soporte de 2do nivel a las áreas operativas.
Dominio basico de políticas de contraseñas, usuarios, grupos y mecanismos de autenticación en ambientes Linux / Unix. (passwd/chgrp, group, shadow, useradd, usermod, userdel, lock, faillog, PAM), perfilado, privilegios y roles de usuarios.

Preferred Technical and Professional Expertise

Skills:
Conocimientos básicos de seguridad orientado a S.O Unix/Linux.
Manejo de comandos Linux / Unix por CLI.
Programación en Shell
Linux Professional Institute 1/2 o similares.
Certified Ethical Hacker (CEH) - EC-Council
Cisco Certified Network Associate Routing & Switching (CCNA)
Conocimientos sólidos de protocolos de red.
Conocimientos de seguridad informática.
Conocimiento de algún lenguaje de programación.
Inglés técnico

Competencias:
Proactivo
Disponibilidad
Actitud de servicio
Analitico
Propositivo
Servicial/Facilidad de palabra
About Business UnitIBM’s Cloud and Cognitive software business is committed to bringing the power of IBM’s Cloud and Watson/AI technologies to life for our clients and ecosystem partners around the world. IBM provides you with the most comprehensive and consistent approach to development, security and operations across hybrid environments—with complete software solutions for business and IT operations, development, data science, security, and management. Our experts and software capabilities help organizations develop applications once and deploy them anywhere, integrate security across the breadth of their IT estate, and automate operations with management visibility. With IBM, you also have access to new skills and methods, governance and management approaches, and a deep ecosystem of industry experts and partners.

Your Life @ IBMWhat matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBMIBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location StatementFor additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
179,TRANSPORTES MUCIÑO,LIC. EN SISTEMAS,"Zempoala, Hgo.","Salario neto mensual:
$10,000.00
Ubicación:
Hidalgo, Zempoala -
Tipo de contrato:
Contrato por tiempo indeterminado
Vigencia de la oferta:
31 de marzo de 2021
Días laborales:
L Ma Mi J V
Horario de trabajo:
9:00 a 18:00 hrs.
Rolar turnos:
No
Requisitos
Estudios Solicitados:
Licenciatura en Sistemas computacionales , Titulado
Experiencia:
3 - 4 años
Competencias transversales:
Comunicación, Trabajo en equipo, Planeación y organización, Responsabilidad
Idiomas:
No es requisito
La empresa ofrece
Prestaciones:
Prestaciones de ley
Funciones y actividades a realizar
Soporte y atención a usuarios, desarrollo de proyectos, mantenimiento preventivo y correctivo, instalaciones it, documentación en proceso, cumplimiento de sgc
Observaciones
SABER SAP Y ORACLE"
180,Jael Paredes,Analista de Sistemas Senior,Ciudad de México,"PORTO MX

Somos una empresa de Recursos Humanos con especialización en TI dedicada a proveer personal capacitado en tecnologías Php, Java y DotNet para proyectos temporales o permanentes. Nuestros servicios a nivel General son la Administración de Nominas, Staffing IT, R&S y más.

En este momento solicitamos:
Analista de Sistemas Senior

ZONA DE TRABAJO: Colonia Del Valle, Benito Juárez
SUELDO: $22,000.00 mensuales

REQUISITOS:
Escolaridad: Ingeniería Industrial o a fin,
Edad: 25 a 40 años
Sexo: Indistinto

EXPERIENCIA:
Al menos 6 años de experiencia en sistemas
Al menos 2 años en puesto similar
UML
Visio
Enterprise Architect

ACTIVIDADES:
Estarán participando en importantes proyectos del sector salud en la parte de análisis.

HABILIDADES:
Analítica
Proactivo
Organizado
Trabajo en equipo
Tolerante a la frustración
Comprometido
Sin problemas de horario

Interesados enviar CV con expectativas económicas y nombre de la vacante a jael.paredes@portomx.com"
181,Novamund,Especialista en soport de IT para Call Center,Ciudad de México,"Requisitos y responsabilidades:
Conocimiento avanzado de LAN
Instalación de LAN
Conocimiento de AD hoy la (configurar dominio en PC)
Conocimiento de MS Windows (instalación)
Conocimiento de productos MSOrientado al servicio con los clientes.
Experto en productos y servicios.
Especialista en análisis de sistemas.
Comunicador excelente tanto de forma oral como escrita.
Habilidades profesionales de uso de un ordenador y MS Office, incluyendo Word, Excel…
Facilidad de aprendizaje de nuevas tecnologías, así como experiencia haciendo pruebas en versiones beta de software.
Garantía de Calidad.
Experto en resolución de problemas.
Habilidad analítica y de diagnóstico de problemas, incluso antes de que estos sucedan.
Clientes informados periódicamente del progreso de los problemas que hayan surgido mediante llamadas telefónicas durante un periodo de tiempo definido.
Ayuda a miembros del equipo y provisión de soporte y soluciones a las preguntas de los clientes para lograr los objetivos de la compañía.
Mantenimiento del conocimiento actualizado de los productos de la compañía, así como de los servicios para proveer el mejor soporte posible al cliente.

Condiciones:
Trabajar según el Código del Trabajo
Tiempo completo = Salario + bonificación

Experiencia total
Más de 2 años en call center o empresa similar
Excelente comunicación Verbal y escrita
Experiencia y mentalidad sólida para la solución de problemas tecnicos.
Conocimiento del proceso de gestión del contenido del agente (base de conocimiento)
Gran capacidad para informar utilizando Word, Power-point
Habilidad de análisis con Excel

Condiciones:
Contrato Permanente."
182,NEC de México,Técnico de Servicio Retail CDMX,Ciudad de México,"NEC de México, S. A. de C. V. empresa multinacional Japonesa de Soluciones IT y Telecomunicaciones te invita a integrarte a su equipo de trabajo como Técnico de Servicio para el Sector Retail.

¡Estamos buscando tu Talento!

Funciones:
Mantenimientos Preventivos a equipos de comunicación, POS y CCTV
Mantenimientos Correctivos a equipos de comunicación, POS y CCTV
Mantenimientos Express a impresoras
Renovaciones e Instalaciones de Equipos de Comunicaciones, POS y CCTV

Ofrecemos:
Sueldo base más bono por disponibilidad, prestaciones de ley, Seguro de Gastos Médicos Mayores y Seguro de Vida.
Zona de Trabajo Ciudad de México

Envía tu CV en formato Word o PDF al correo del contacto indicando el nombre de la vacante y pretensiones económicas.
Requerimientos:
Requisitos:
Escolaridad: Carrera Técnica en Tecnologías de la información, Telemática, Licenciatura en Sistemas Computacionales, trunca, pasante ó recien egresado.
Experiencia: 6 meses
Licencia de conducir: Indispensable
Disponibilidad para viajar: Indispensable
Habilidades Personales: Manejo de estrés, facilidad de habla y entendimiento, proactivo, puntual.

Conocimientos y habilidades:
Sistemas computacionales, Comunicaciones, Cableado estructurado, POS, CCTV"
